Date,hs,dir,Tm
12/4/2017 11:00,0.9,333,33.05
12/4/2017 11:10,0.6,333,9.82
12/4/2017 11:20,0.6,284,9.46
12/4/2017 11:30,0.6,235,9.62
12/4/2017 11:40,0.5,186,4.3
12/4/2017 11:50,0.5,137,4.24
12/4/2017 12:00,0.5,89,4.25
12/4/2017 12:10,0.5,89,4.23
12/4/2017 12:20,0.5,91,4.3
12/4/2017 12:30,0.5,94,4.3
12/4/2017 12:40,0.5,97,4.27
12/4/2017 12:50,0.5,100,4.28
12/4/2017 13:00,0.5,102,4.19
12/4/2017 13:10,0.5,102,4.26
12/4/2017 13:20,0.4,104,4.26
12/4/2017 13:30,0.4,106,4.25
12/4/2017 13:40,0.4,108,4.1
12/4/2017 13:50,0.4,110,4.1
12/4/2017 14:00,0.4,113,4.1
12/4/2017 14:10,0.4,113,4.1
12/4/2017 14:20,0.4,111,4.12
12/4/2017 14:30,0.3,109,4.25
12/4/2017 14:40,0.3,108,4.23
12/4/2017 14:50,0.3,106,4.27
12/4/2017 15:00,0.3,105,4.25
12/4/2017 15:10,0.3,105,4.26
12/4/2017 15:20,0.3,99,4.22
12/4/2017 15:30,0.3,93,4.2
12/4/2017 15:40,0.2,87,4.24
12/4/2017 15:50,0.2,81,4.3
12/4/2017 16:00,0.2,75,4.35
12/4/2017 16:10,0.2,75,4.38
12/4/2017 16:20,0.2,113,4.48
12/4/2017 16:30,0.2,152,4.59
12/4/2017 16:40,0.2,190,4.65
12/4/2017 16:50,0.2,229,4.86
12/4/2017 17:00,0.2,267,5.26
12/4/2017 17:10,0.2,267,5.27
12/4/2017 17:20,0.2,270,5.23
12/4/2017 17:30,0.2,273,5.35
12/4/2017 17:40,0.2,276,5.41
12/4/2017 17:50,0.2,279,5.63
12/4/2017 18:00,0.2,282,5.51
12/4/2017 18:10,0.2,282,5.61
12/4/2017 18:20,0.2,279,5.46
12/4/2017 18:30,0.2,275,5.47
12/4/2017 18:40,0.2,272,5.6
12/4/2017 18:50,0.2,269,5.53
12/4/2017 19:00,0.2,266,5.51
12/4/2017 19:10,0.1,266,5.74
12/4/2017 19:20,0.1,267,5.53
12/4/2017 19:30,0.2,269,5.43
12/4/2017 19:40,0.2,271,5.45
12/4/2017 19:50,0.2,272,5.36
12/4/2017 20:00,0.2,274,5.79
12/4/2017 20:10,0.2,274,5.76
12/4/2017 20:20,0.2,274,5.68
12/4/2017 20:30,0.2,274,5.38
12/4/2017 20:40,0.2,273,5.19
12/4/2017 20:50,0.2,273,5.48
12/4/2017 21:00,0.2,273,5.65
12/4/2017 21:10,0.2,273,5.62
12/4/2017 21:20,0.2,270,5.5
12/4/2017 21:30,0.2,267,5.31
12/4/2017 21:40,0.2,264,5.36
12/4/2017 21:50,0.2,261,5.35
12/4/2017 22:00,0.2,257,5.31
12/4/2017 22:10,0.1,257,5.12
12/4/2017 22:20,0.1,206,5.05
12/4/2017 22:30,0.2,155,5.04
12/4/2017 22:40,0.2,104,5.02
12/4/2017 22:50,0.2,52,5.16
12/4/2017 23:00,0.2,1,5.15
12/4/2017 23:10,0.2,1,5.18
12/4/2017 23:20,0.2,59,5.15
12/4/2017 23:30,0.2,117,5.11
12/4/2017 23:40,0.2,174,5.14
12/4/2017 23:50,0.2,232,5.23
12/5/2017 0:00,0.2,290,5.14
12/5/2017 0:10,0.2,290,5.16
12/5/2017 0:20,0.2,240,5.2
12/5/2017 0:30,0.2,191,5.32
12/5/2017 0:40,0.2,142,5.1
12/5/2017 0:50,0.2,92,5.23
12/5/2017 1:00,0.2,43,5.23
12/5/2017 1:10,0.2,43,4.92
12/5/2017 1:20,0.2,83,4.71
12/5/2017 1:30,0.2,124,4.58
12/5/2017 1:40,0.2,164,4.57
12/5/2017 1:50,0.2,204,4.56
12/5/2017 2:00,0.2,245,4.6
12/5/2017 2:10,0.2,245,4.88
12/5/2017 2:20,0.2,267,4.73
12/5/2017 2:30,0.2,288,4.52
12/5/2017 2:40,0.2,310,4.57
12/5/2017 2:50,0.2,332,4.54
12/5/2017 3:00,0.2,354,4.83
12/5/2017 3:10,0.2,354,4.68
12/5/2017 3:20,0.2,286,4.89
12/5/2017 3:30,0.2,219,4.76
12/5/2017 3:40,0.2,152,4.86
12/5/2017 3:50,0.2,85,4.68
12/5/2017 4:00,0.2,18,4.76
12/5/2017 4:10,0.2,18,4.69
12/5/2017 4:20,0.2,19,4.79
12/5/2017 4:30,0.2,20,4.7
12/5/2017 4:40,0.2,21,4.75
12/5/2017 4:50,0.2,22,4.68
12/5/2017 5:00,0.1,23,4.86
12/5/2017 5:10,0.2,23,5.07
12/5/2017 5:20,0.2,86,5.09
12/5/2017 5:30,0.2,149,5.04
12/5/2017 5:40,0.2,211,5.06
12/5/2017 5:50,0.2,274,4.97
12/5/2017 6:00,0.2,337,5.22
12/5/2017 6:10,0.2,337,5.16
12/5/2017 6:20,0.1,286,5.15
12/5/2017 6:30,0.1,235,5.39
12/5/2017 6:40,0.1,184,5.27
12/5/2017 6:50,0.1,133,5.37
12/5/2017 7:00,0.1,82,5.25
12/5/2017 7:10,0.1,82,5.48
12/5/2017 7:20,0.2,87,5.39
12/5/2017 7:30,0.2,91,5.18
12/5/2017 7:40,0.2,96,4.83
12/5/2017 7:50,0.2,101,4.85
12/5/2017 8:00,0.2,106,4.98
12/5/2017 8:10,0.2,106,4.96
12/5/2017 8:20,0.2,107,4.94
12/5/2017 8:30,0.2,107,4.88
12/5/2017 8:40,0.2,108,4.73
12/5/2017 8:50,0.2,109,4.71
12/5/2017 9:00,0.2,109,4.9
12/5/2017 9:10,0.2,109,5.06
12/5/2017 9:20,0.2,154,5.02
12/5/2017 9:30,0.2,199,4.99
12/5/2017 9:40,0.2,245,4.86
12/5/2017 9:50,0.2,290,4.73
12/5/2017 10:00,0.1,335,4.79
12/5/2017 10:10,0.2,335,4.94
12/5/2017 10:20,0.2,339,5.2
12/5/2017 10:30,0.2,344,5.42
12/5/2017 10:40,0.2,349,5.39
12/5/2017 10:50,0.2,353,5.51
12/5/2017 11:00,0.1,358,5.44
12/5/2017 11:10,0.1,358,5.49
12/5/2017 11:20,0.1,287,5.41
12/5/2017 11:30,0.1,216,5.42
12/5/2017 11:40,0.1,146,5.34
12/5/2017 11:50,0.2,75,5.32
12/5/2017 12:00,0.2,4,5.33
12/5/2017 12:10,0.2,4,5.55
