Date,hs, dir, Tm
11-Nov-2017 00:50:00,0.3, 294, 3.66
11-Nov-2017 01:00:00,0.3, 294, 3.57
11-Nov-2017 01:10:00,0.3, 290, 3.57
11-Nov-2017 01:20:00,0.3, 285, 3.58
11-Nov-2017 01:30:00,0.3, 285, 3.64
11-Nov-2017 01:40:00,0.3, 287, 3.61
11-Nov-2017 01:50:00,0.3, 290, 3.70
11-Nov-2017 02:00:00,0.3, 290, 3.66
11-Nov-2017 02:10:00,0.3, 289, 3.75
11-Nov-2017 02:20:00,0.3, 287, 3.77
11-Nov-2017 02:30:00,0.3, 287, 3.83
11-Nov-2017 02:40:00,0.3, 291, 3.85
11-Nov-2017 02:50:00,0.3, 294, 3.94
11-Nov-2017 03:00:00,0.3, 294, 3.88
11-Nov-2017 03:10:00,0.4, 288, 3.90
11-Nov-2017 03:20:00,0.3, 282, 3.81
11-Nov-2017 03:30:00,0.4, 282, 3.90
11-Nov-2017 03:40:00,0.3, 286, 3.86
11-Nov-2017 03:50:00,0.4, 290, 3.90
11-Nov-2017 04:00:00,0.4, 290, 4.00
11-Nov-2017 04:10:00,0.4, 297, 3.99
11-Nov-2017 04:20:00,0.4, 303, 4.12
11-Nov-2017 04:30:00,0.4, 303, 4.08
11-Nov-2017 04:40:00,0.4, 304, 4.04
11-Nov-2017 04:50:00,0.4, 306, 3.96
11-Nov-2017 05:00:00,0.4, 306, 3.90
11-Nov-2017 05:10:00,0.4, 303, 3.90
11-Nov-2017 05:20:00,0.4, 300, 3.89
11-Nov-2017 05:30:00,0.4, 300, 3.91
11-Nov-2017 05:40:00,0.4, 299, 3.90
11-Nov-2017 05:50:00,0.4, 299, 3.94
11-Nov-2017 06:00:00,0.4, 299, 3.96
11-Nov-2017 06:10:00,0.4, 299, 3.95
11-Nov-2017 06:20:00,0.4, 299, 3.99
11-Nov-2017 06:30:00,0.4, 299, 4.05
11-Nov-2017 06:40:00,0.4, 298, 4.02
11-Nov-2017 06:50:00,0.4, 297, 4.05
11-Nov-2017 07:00:00,0.4, 297, 4.03
11-Nov-2017 07:10:00,0.4, 297, 4.10
11-Nov-2017 07:20:00,0.4, 297, 4.07
11-Nov-2017 07:30:00,0.5, 297, 4.31
11-Nov-2017 07:40:00,0.5, 294, 4.35
11-Nov-2017 07:50:00,0.5, 292, 4.34
11-Nov-2017 08:00:00,0.5, 292, 4.36
11-Nov-2017 08:10:00,0.4, 293, 4.26
11-Nov-2017 08:20:00,0.4, 294, 4.35
11-Nov-2017 08:30:00,0.4, 294, 4.38
11-Nov-2017 08:40:00,0.4, 296, 4.36
11-Nov-2017 08:50:00,0.4, 297, 4.23
11-Nov-2017 09:00:00,0.4, 297, 4.15
11-Nov-2017 09:10:00,0.4, 301, 4.35
11-Nov-2017 09:20:00,0.4, 304, 4.42
11-Nov-2017 09:30:00,0.4, 304, 4.43
11-Nov-2017 09:40:00,0.4, 304, 4.24
11-Nov-2017 09:50:00,0.4, 303, 4.18
11-Nov-2017 10:00:00,0.4, 303, 4.16
11-Nov-2017 10:10:00,0.4, 304, 4.18
11-Nov-2017 10:20:00,0.4, 306, 4.35
11-Nov-2017 10:30:00,0.4, 306, 4.37
11-Nov-2017 10:40:00,0.4, 304, 4.26
11-Nov-2017 10:50:00,0.4, 303, 4.17
11-Nov-2017 11:00:00,0.4, 303, 4.16
11-Nov-2017 11:10:00,0.4, 304, 4.21
11-Nov-2017 11:20:00,0.4, 306, 4.20
11-Nov-2017 11:30:00,0.4, 306, 4.19
11-Nov-2017 11:40:00,0.4, 299, 4.18
11-Nov-2017 11:50:00,0.4, 293, 4.29
11-Nov-2017 12:00:00,0.4, 293, 4.31
11-Nov-2017 12:10:00,0.4, 294, 4.38
11-Nov-2017 12:20:00,0.4, 296, 4.26
11-Nov-2017 12:30:00,0.4, 296, 4.21
11-Nov-2017 12:40:00,0.4, 297, 4.12
11-Nov-2017 12:50:00,0.4, 299, 4.11
11-Nov-2017 13:00:00,0.4, 299, 4.17
11-Nov-2017 13:10:00,0.4, 300, 4.08
11-Nov-2017 13:20:00,0.4, 301, 4.11
11-Nov-2017 13:30:00,0.4, 301, 3.86
11-Nov-2017 13:40:00,0.4, 302, 3.76
11-Nov-2017 13:50:00,0.4, 303, 3.69
11-Nov-2017 14:00:00,0.4, 303, 3.72
11-Nov-2017 14:10:00,0.4, 305, 3.72
11-Nov-2017 14:20:00,0.4, 307, 3.63
11-Nov-2017 14:30:00,0.4, 307, 3.67
11-Nov-2017 14:40:00,0.4, 302, 3.70
11-Nov-2017 14:50:00,0.4, 297, 3.64
11-Nov-2017 15:00:00,0.4, 297, 3.50
11-Nov-2017 15:10:00,0.4, 300, 3.51
11-Nov-2017 15:20:00,0.4, 303, 3.53
11-Nov-2017 15:30:00,0.4, 303, 3.49
11-Nov-2017 15:40:00,0.4, 306, 3.48
11-Nov-2017 15:50:00,0.4, 309, 3.39
11-Nov-2017 16:00:00,0.4, 309, 3.34
11-Nov-2017 16:10:00,0.4, 305, 3.33
11-Nov-2017 16:20:00,0.5, 301, 3.34
11-Nov-2017 16:30:00,0.5, 301, 3.51
11-Nov-2017 16:40:00,0.5, 301, 3.55
11-Nov-2017 16:50:00,0.5, 301, 3.57
11-Nov-2017 17:00:00,0.5, 301, 3.50
11-Nov-2017 17:10:00,0.4, 297, 3.37
11-Nov-2017 17:20:00,0.4, 292, 3.37
11-Nov-2017 17:30:00,0.4, 292, 3.30
11-Nov-2017 17:40:00,0.4, 296, 3.36
11-Nov-2017 17:50:00,0.5, 300, 3.39
11-Nov-2017 18:00:00,0.4, 300, 3.42
11-Nov-2017 18:10:00,0.5, 306, 3.43
11-Nov-2017 18:20:00,0.4, 311, 3.44
11-Nov-2017 18:30:00,0.4, 311, 3.42
11-Nov-2017 18:40:00,0.4, 309, 3.33
11-Nov-2017 18:50:00,0.4, 306, 3.31
11-Nov-2017 19:00:00,0.4, 306, 3.24
11-Nov-2017 19:10:00,0.4, 302, 3.27
11-Nov-2017 19:20:00,0.4, 299, 3.33
11-Nov-2017 19:30:00,0.4, 299, 3.33
11-Nov-2017 19:40:00,0.4, 297, 3.35
11-Nov-2017 19:50:00,0.4, 294, 3.25
11-Nov-2017 20:00:00,0.4, 294, 3.23
11-Nov-2017 20:10:00,0.4, 292, 3.27
11-Nov-2017 20:20:00,0.4, 289, 3.27
11-Nov-2017 20:30:00,0.4, 289, 3.29
11-Nov-2017 20:40:00,0.4, 293, 3.20
11-Nov-2017 20:50:00,0.4, 297, 3.26
11-Nov-2017 21:00:00,0.4, 297, 3.25
11-Nov-2017 21:10:00,0.4, 299, 3.23
11-Nov-2017 21:20:00,0.4, 301, 3.16
11-Nov-2017 21:30:00,0.4, 301, 3.19
11-Nov-2017 21:40:00,0.4, 301, 3.20
11-Nov-2017 21:50:00,0.4, 300, 3.14
11-Nov-2017 22:00:00,0.4, 300, 3.09
11-Nov-2017 22:10:00,0.4, 299, 3.04
11-Nov-2017 22:20:00,0.4, 297, 3.11
11-Nov-2017 22:30:00,0.4, 297, 3.07
11-Nov-2017 22:40:00,0.4, 301, 3.15
11-Nov-2017 22:50:00,0.4, 304, 3.20
11-Nov-2017 23:00:00,0.4, 304, 3.24
11-Nov-2017 23:10:00,0.4, 302, 3.17
11-Nov-2017 23:20:00,0.4, 300, 3.14
11-Nov-2017 23:30:00,0.4, 300, 3.19
11-Nov-2017 23:40:00,0.4, 301, 3.20
11-Nov-2017 23:50:00,0.4, 301, 3.26
12-Nov-2017 00:00:00,0.4, 301, 3.23
12-Nov-2017 00:10:00,0.4, 301, 3.28
12-Nov-2017 00:20:00,0.4, 300, 3.31
12-Nov-2017 00:30:00,0.4, 300, 3.36
12-Nov-2017 00:40:00,0.4, 305, 3.42
12-Nov-2017 00:50:00,0.4, 310, 3.35
12-Nov-2017 01:00:00,0.4, 310, 3.29
12-Nov-2017 01:10:00,0.4, 305, 3.23
12-Nov-2017 01:20:00,0.4, 300, 3.24
12-Nov-2017 01:30:00,0.3, 300, 3.14
12-Nov-2017 01:40:00,0.3, 300, 3.13
12-Nov-2017 01:50:00,0.3, 300, 3.13
12-Nov-2017 02:00:00,0.3, 300, 3.26
12-Nov-2017 02:10:00,0.3, 298, 3.25
12-Nov-2017 02:20:00,0.3, 296, 3.34
12-Nov-2017 02:30:00,0.3, 296, 3.39
12-Nov-2017 02:40:00,0.3, 294, 3.38
12-Nov-2017 02:50:00,0.3, 292, 3.26
12-Nov-2017 03:00:00,0.3, 292, 3.12
12-Nov-2017 03:10:00,0.3, 294, 3.06
12-Nov-2017 03:20:00,0.3, 296, 3.11
12-Nov-2017 03:30:00,0.3, 296, 3.08
12-Nov-2017 03:40:00,0.3, 294, 3.15
12-Nov-2017 03:50:00,0.4, 293, 2.93
12-Nov-2017 04:00:00,0.4, 293, 3.00
12-Nov-2017 04:10:00,0.4, 287, 3.00
12-Nov-2017 04:20:00,0.4, 282, 3.19
12-Nov-2017 04:30:00,0.4, 282, 3.14
12-Nov-2017 04:40:00,0.3, 281, 3.13
12-Nov-2017 04:50:00,0.3, 280, 3.05
12-Nov-2017 05:00:00,0.3, 280, 3.00
12-Nov-2017 05:10:00,0.4, 281, 2.97
12-Nov-2017 05:20:00,0.4, 282, 2.89
12-Nov-2017 05:30:00,0.4, 282, 2.86
12-Nov-2017 05:40:00,0.4, 187, 2.85
12-Nov-2017 05:50:00,0.4,  92, 2.82
12-Nov-2017 06:00:00,0.4,  92, 2.77
12-Nov-2017 06:10:00,0.4, 191, 2.79
12-Nov-2017 06:20:00,0.4, 290, 2.75
12-Nov-2017 06:30:00,0.4, 290, 2.75
12-Nov-2017 06:40:00,0.4, 286, 2.73
12-Nov-2017 06:50:00,0.4, 282, 2.77
12-Nov-2017 07:00:00,0.4, 282, 2.82
12-Nov-2017 07:10:00,0.4, 183, 2.81
12-Nov-2017 07:20:00,0.4,  85, 2.83
12-Nov-2017 07:30:00,0.4,  85, 2.76
12-Nov-2017 07:40:00,0.4, 185, 2.74
12-Nov-2017 07:50:00,0.4, 285, 2.72
12-Nov-2017 08:00:00,0.4, 285, 2.74
12-Nov-2017 08:10:00,0.4, 190, 2.79
12-Nov-2017 08:20:00,0.4,  95, 2.94
12-Nov-2017 08:30:00,0.4,  95, 2.90
12-Nov-2017 08:40:00,0.4, 193, 2.92
12-Nov-2017 08:50:00,0.4, 290, 2.97
12-Nov-2017 09:00:00,0.4, 290, 2.98
12-Nov-2017 09:10:00,0.4, 290, 3.04
