date,hs,dir,Tm
12/3/2017 15:34,9.9, NaN,6.51
12/3/2017 15:44,9.9, NaN,6.56
12/3/2017 15:54,10.1,214,6.7
12/3/2017 16:04,9.6,214,6.48
12/3/2017 16:14,9.4,211,6.38
12/3/2017 16:24,9.6,208,6.62
12/3/2017 16:34,9.7,204,6.68
12/3/2017 16:44,9.7,201,6.47
12/3/2017 16:54,9.5,198,6.27
12/3/2017 17:04,9.3,198,6.1
12/3/2017 17:14,9.2,205,6.33
12/3/2017 17:24,9.2,212,6.41
12/3/2017 17:34,9.2,219,6.44
12/3/2017 17:44,9.5,226,6.5
12/3/2017 17:54,9.5,233,6.58
12/3/2017 18:04,9.7,233,6.42
12/3/2017 18:14,9.7,219,6.42
12/3/2017 18:24,9.7,204,6.16
12/3/2017 18:34,9.5,189,6.32
12/3/2017 18:44,9.6,174,6.33
12/3/2017 18:54,9.7,159,6.72
12/3/2017 19:04,9.6,159,6.67
12/3/2017 19:14,9.7,173,6.61
12/3/2017 19:24,9.6,186,6.32
12/3/2017 19:34,9.5,200,6.57
12/3/2017 19:44,9.2,214,6.43
12/3/2017 19:54,9.3,227,6.28
12/3/2017 20:04,9.3,227,6.26
12/3/2017 20:14,9.8,246,6.69
12/3/2017 20:24,9.6,265,6.81
12/3/2017 20:34,9.6,284,6.45
12/3/2017 20:44,9.2,303,6.25
12/3/2017 20:54,9.2,322,6.24
12/3/2017 21:04,9.5,322,6.25
12/3/2017 21:14,9.6,301,6.38
12/3/2017 21:24,9.5,279,6.39
12/3/2017 21:34,9.3,257,6.64
12/3/2017 21:44,9,235,6.38
12/3/2017 21:54,9.6,214,6.65
12/3/2017 22:04,9.5,214,6.6
12/3/2017 22:14,9.7,229,6.53
12/3/2017 22:24,9.6,244,6.3
12/3/2017 22:34,9.9,260,6.47
12/3/2017 22:44,10.1,275,6.66
12/3/2017 22:54,9.9,290,6.58
12/3/2017 23:04,9.6,290,6.56
12/3/2017 23:14,9.8,282,6.49
12/3/2017 23:24,9.8,274,6.7
12/3/2017 23:34,9.9,266,6.58
12/3/2017 23:44,9.4,257,6.59
12/3/2017 23:54,9.1,249,6.48
12/4/2017 0:04,9.2,249,6.32
12/4/2017 0:14,9.5,239,6.39
12/4/2017 0:24,9.7,229,6.39
12/4/2017 0:34,9.8,219,6.65
12/4/2017 0:44,9.4,209,6.35
12/4/2017 0:54,9.3,199,6.47
12/4/2017 1:04,9.2,199,6.31
12/4/2017 1:14,9.5,216,6.42
12/4/2017 1:24,9.5,233,6.34
12/4/2017 1:34,9.6,250,6.33
12/4/2017 1:44,9.6,267,6.56
12/4/2017 1:54,9.6,284,6.7
12/4/2017 2:04,9.4,284,6.94
12/4/2017 2:14,9.3,296,6.49
12/4/2017 2:24,9.3,307,6.29
12/4/2017 2:34,9.3,319,6.04
12/4/2017 2:44,9.4,330,6.17
12/4/2017 2:54,9.4,342,6.31
12/4/2017 3:04,9.1,342,6.16
12/4/2017 3:14,8.7,302,6.07
12/4/2017 3:24,8.9,262,6.54
12/4/2017 3:34,9.1,222,6.75
12/4/2017 3:44,9.4,181,6.69
12/4/2017 3:54,9.2,141,6.42
12/4/2017 4:04,9.4,141,6.55
12/4/2017 4:14,9.5,130,6.78
12/4/2017 4:24,9.4,118,6.81
12/4/2017 4:34,9.4,106,6.71
12/4/2017 4:44,9.7,94,6.58
12/4/2017 4:54,9.7,83,6.44
12/4/2017 5:04,9.7,83,6.48
12/4/2017 5:14,9.6,80,6.47
12/4/2017 5:24,9.7,78,6.62
12/4/2017 5:34,9.4,75,6.4
12/4/2017 5:44,9.7,73,6.28
12/4/2017 5:54,9.8,71,6.39
12/4/2017 6:04,9.6,71,6.41
12/4/2017 6:14,9.5,95,6.76
12/4/2017 6:24,9.6,119,6.63
12/4/2017 6:34,9.4,143,6.55
12/4/2017 6:44,9.5,167,6.52
12/4/2017 6:54,9.4,192,6.44
12/4/2017 7:04,9.7,192,6.63
12/4/2017 7:14,9.5,190,6.59
12/4/2017 7:24,9.8,188,6.71
12/4/2017 7:34,9.5,186,6.76
12/4/2017 7:44,9.5,184,6.81
12/4/2017 7:54,9.3,182,6.56
12/4/2017 8:04,9.3,182,6.45
12/4/2017 8:14,9.4,160,6.53
12/4/2017 8:24,9.3,137,6.52
12/4/2017 8:34,9.1,114,6.4
12/4/2017 8:44,9.1,92,6.31
12/4/2017 8:54,9.2,69,6.38
12/4/2017 9:04,9.3,69,6.33
12/4/2017 9:14,9.3,125,6.38
12/4/2017 9:24,9.2,181,6.49
12/4/2017 9:34,9.2,236,6.52
12/4/2017 9:44,9.4,292,6.64
12/4/2017 9:54,9.4,348,6.66
12/4/2017 10:04,9.1,348,6.55
12/4/2017 10:14,9.1,345,6.54
12/4/2017 10:24,9.3,342,6.69
12/4/2017 10:34,11.6,339,18.07
12/4/2017 10:44,13.2,336,32.73
12/4/2017 10:54,0.8,333,4.13
12/4/2017 11:04,0.6,333,8.33
12/4/2017 11:14,0.6,284,9.6
12/4/2017 11:24,0.6,235,9.54
12/4/2017 11:34,0.5,186,5.09
12/4/2017 11:44,0.5,137,4.26
12/4/2017 11:54,0.5,89,4.27
12/4/2017 12:04,0.5,89,4.28
12/4/2017 12:14,0.5,91,4.19
12/4/2017 12:24,0.5,94,4.29
12/4/2017 12:34,0.5,97,4.26
12/4/2017 12:44,0.5,100,4.3
12/4/2017 12:54,0.5,102,4.23
12/4/2017 13:04,0.5,102,4.21
12/4/2017 13:14,0.5,104,4.23
12/4/2017 13:24,0.4,106,4.21
12/4/2017 13:34,0.4,108,4.16
12/4/2017 13:44,0.4,110,4.06
12/4/2017 13:54,0.4,113,4.1
12/4/2017 14:04,0.4,113,4.06
12/4/2017 14:14,0.4,111,4.09
