Date,hs, dir, Tm
28-Nov-2017,0.000, 270, 1.56
28-Nov-2017 00:10:00,0.008, 204, 1.82
28-Nov-2017 00:20:00,0.013, 204, 1.77
28-Nov-2017 00:30:00,0.017, 204, 1.72
28-Nov-2017 00:40:00,0.021, 204, 1.67
28-Nov-2017 00:50:00,0.026, 204, 1.62
28-Nov-2017 01:00:00,0.032, 204, 1.58
28-Nov-2017 01:10:00,0.040, 203, 1.54
28-Nov-2017 01:20:00,0.049, 203, 1.50
28-Nov-2017 01:30:00,0.062, 203, 1.47
28-Nov-2017 01:40:00,0.079, 203, 1.45
28-Nov-2017 01:50:00,0.106, 202, 1.42
28-Nov-2017 02:00:00,0.134, 201, 1.41
28-Nov-2017 02:10:00,0.155, 201, 1.42
28-Nov-2017 02:20:00,0.181, 200, 1.48
28-Nov-2017 02:30:00,0.206, 199, 1.60
28-Nov-2017 02:40:00,0.214, 198, 1.72
28-Nov-2017 02:50:00,0.215, 198, 1.80
28-Nov-2017 03:00:00,0.216, 197, 1.87
28-Nov-2017 03:10:00,0.219, 197, 1.91
28-Nov-2017 03:20:00,0.224, 197, 1.95
28-Nov-2017 03:30:00,0.229, 196, 1.98
28-Nov-2017 03:40:00,0.234, 196, 2.00
28-Nov-2017 03:50:00,0.240, 195, 2.03
28-Nov-2017 04:00:00,0.246, 195, 2.05
28-Nov-2017 04:10:00,0.253, 194, 2.07
28-Nov-2017 04:20:00,0.260, 194, 2.09
28-Nov-2017 04:30:00,0.268, 193, 2.11
28-Nov-2017 04:40:00,0.276, 193, 2.13
28-Nov-2017 04:50:00,0.284, 192, 2.15
28-Nov-2017 05:00:00,0.292, 191, 2.17
28-Nov-2017 05:10:00,0.301, 191, 2.19
28-Nov-2017 05:20:00,0.310, 190, 2.21
28-Nov-2017 05:30:00,0.319, 189, 2.23
28-Nov-2017 05:40:00,0.328, 189, 2.25
28-Nov-2017 05:50:00,0.337, 188, 2.28
28-Nov-2017 06:00:00,0.347, 188, 2.30
28-Nov-2017 06:10:00,0.356, 187, 2.32
28-Nov-2017 06:20:00,0.365, 187, 2.34
28-Nov-2017 06:30:00,0.374, 187, 2.36
28-Nov-2017 06:40:00,0.383, 187, 2.39
28-Nov-2017 06:50:00,0.392, 186, 2.41
28-Nov-2017 07:00:00,0.400, 186, 2.43
28-Nov-2017 07:10:00,0.408, 186, 2.45
28-Nov-2017 07:20:00,0.416, 187, 2.47
28-Nov-2017 07:30:00,0.423, 187, 2.49
28-Nov-2017 07:40:00,0.431, 187, 2.51
28-Nov-2017 07:50:00,0.437, 188, 2.53
28-Nov-2017 08:00:00,0.444, 188, 2.55
28-Nov-2017 08:10:00,0.450, 189, 2.57
28-Nov-2017 08:20:00,0.456, 190, 2.59
28-Nov-2017 08:30:00,0.462, 191, 2.60
28-Nov-2017 08:40:00,0.467, 192, 2.62
28-Nov-2017 08:50:00,0.472, 193, 2.64
28-Nov-2017 09:00:00,0.477, 194, 2.66
28-Nov-2017 09:10:00,0.482, 195, 2.67
28-Nov-2017 09:20:00,0.487, 197, 2.69
28-Nov-2017 09:30:00,0.492, 198, 2.71
28-Nov-2017 09:40:00,0.497, 200, 2.72
28-Nov-2017 09:50:00,0.502, 201, 2.74
28-Nov-2017 10:00:00,0.507, 203, 2.76
28-Nov-2017 10:10:00,0.513, 205, 2.78
28-Nov-2017 10:20:00,0.518, 207, 2.79
28-Nov-2017 10:30:00,0.524, 208, 2.81
28-Nov-2017 10:40:00,0.530, 210, 2.83
28-Nov-2017 10:50:00,0.536, 212, 2.85
28-Nov-2017 11:00:00,0.542, 213, 2.87
28-Nov-2017 11:10:00,0.548, 215, 2.89
28-Nov-2017 11:20:00,0.553, 216, 2.92
28-Nov-2017 11:30:00,0.559, 218, 2.94
28-Nov-2017 11:40:00,0.564, 220, 2.96
