date,time,hmo,hm1/3,hmax,dir,tav,tz,tp,seatemp
23/01/2017,16:15:00,0.98,0.86,1.48,10,3.5,3.3,4,17.95
23/01/2017,16:45:00,0.93,0.82,1.39,13,3.6,3.4,4.3,17.95
23/01/2017,17:15:00,0.85,0.77,1.61,7,3.6,3.5,4.2,17.95
23/01/2017,17:45:00,0.76,0.69,1.17,7,3.6,3.5,4.2,17.95
23/01/2017,18:15:00,0.73,0.64,1.01,1,3.8,3.6,4.5,17.95
23/01/2017,18:45:00,0.62,0.57,0.99,8,3.7,3.5,4.3,17.9
23/01/2017,19:15:00,0.62,0.55,0.97,8,3.6,3.5,4.2,17.9
23/01/2017,19:45:00,0.58,0.51,0.88,4,3.7,3.5,4.2,17.9
23/01/2017,20:15:00,0.6,0.53,0.97,1,3.2,3,4.3,17.9
23/01/2017,20:45:00,0.62,0.51,0.84,7,3,2.8,4.2,17.9
23/01/2017,21:15:00,0.63,0.54,1.04,6,3,2.8,4.2,17.9
23/01/2017,21:45:00,0.57,0.48,0.8,353,3,2.8,4.5,17.9
23/01/2017,22:15:00,0.59,0.5,0.8,0,3,2.8,4.3,17.85
23/01/2017,22:45:00,0.57,0.48,0.78,1,2.9,2.8,4,17.85
23/01/2017,23:15:00,0.53,0.43,0.83,343,2.8,2.7,4.5,17.8
23/01/2017,23:45:00,0.53,0.44,0.81,79,2.8,2.6,2.4,17.8
24/01/2017,0:15:00,0.52,0.43,0.78,84,2.7,2.6,2.4,17.8
24/01/2017,0:45:00,0.54,0.44,0.72,90,2.7,2.6,2.4,17.8
24/01/2017,1:15:00,0.58,0.47,0.8,89,2.7,2.6,2.4,17.8
24/01/2017,1:45:00,0.58,0.48,0.89,91,2.8,2.7,2.4,17.8
24/01/2017,2:15:00,0.58,0.49,0.88,87,2.8,2.7,2.4,17.75
24/01/2017,2:45:00,0.57,0.48,0.84,357,3,2.7,5,17.65
24/01/2017,3:15:00,0.59,0.48,0.79,91,2.8,2.6,2.6,17.6
24/01/2017,3:45:00,0.6,0.49,0.82,84,2.8,2.6,2.4,17.6
24/01/2017,4:15:00,0.63,0.54,1,86,2.7,2.6,2.7,17.55
24/01/2017,4:45:00,0.61,0.5,0.88,87,2.6,2.6,2.6,17.5
24/01/2017,5:15:00,0.6,0.49,0.92,86,2.6,2.6,2.8,17.5
24/01/2017,5:45:00,0.64,0.53,0.9,86,2.7,2.6,2.7,17.5
